kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank8CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00058_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGFU ELECTRONIC TECHNOLOGY CO LTD,"GD. EQUITY LT.17 UNIT F SCBD LOT.9, JL. JEND. SUDIRMAN KAV.52-53, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GD. TMT 1,LT. 3, JL.CILANDAK KKO NO.1, CILANDAK TIMUR,PASAR MINGGU, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GEDUNG UTAMA PERTAMINA LT. 14, JL. MEDAN MERDEKA TIMUR 1 A , JAKARTA-10110, RT 002, RW 001, KELURAHAN/DESA GAMBIR, JAKARTA PUSAT, PROVINSI DKI JAKARTA"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyName,2023,CurrentYearDuration_1620300_Rank8CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00058_00_0001,PT CHAKRA JAWARA,SHANTOU ZHONGBIN HETAI IMPORT AND EXPORT TRADE,"GD. TMT 1,LT. 3, JL.CILANDAK KKO NO.1, CILANDAK TIMUR,PASAR MINGGU, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GEDUNG UTAMA PERTAMINA LT. 14, JL. MEDAN MERDEKA TIMUR 1 A , JAKARTA-10110, RT 002, RW 001, KELURAHAN/DESA GAMBIR, JAKARTA PUSAT, PROVINSI DKI JAKARTA"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2023,CurrentYearDuration_1640300_Rank6CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00052_00_0001,PT MITRA SOLUSI TELEMATIKA,YAYASAN FILADELFIA,"GD.TRAKINDO UTAMA,LT.2, JL. CILANDAK KKO RAYA, CILANDAK TIMUR, JAKARTA SELATAN, PROVINSI DKI JAKARTA"
ABMM,ABM INVESTAMA TBK,idx-cor:CounterpartyNameTradePayable,2023,CurrentYearDuration_1640300_Rank7CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00055_00_0001,UNITED TRACTORS TBK,SHANTOU MARIA INVESTMENT CO LTD,"AXA TOWER - KUNINGAN CIY LT 07 SUITE 05 JALAN PROF DR SATRIO KAV 18, KELURAHAN/DESA KARET KUNINGAN, KECAMATAN SETIABUDI, JAKARTA SELATAN, PROVINSI DKI JAKARTA; DESA SAWOTRATAP GEDANGAN, KABUPATEN SIDOARJO, PROVINSI JAWA TIMUR; GEDUNG GRAHA IRAMA LT 15 JL. HR. RASUNA SAID BLOK X-1 KAVLING 1-2 KUNINGAN TIMUR SETIABUDI, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GEDUNG MIDPLAZA 2 LANTAI 3, JALAN JENDRAL SUDIRMAN KAVLING 10-11, RT 10, RW 11, KELURAHAN/DESA KARET TENGSIN, KECAMATAN TANAH ABANG, JAKARTA PUSAT, PROVINSI DKI JAKARTA; GEDUNG PANORAMA LT.6 JL. TOMANG RAYA NO. 63 GROGOL PETAMBURAN, JAKARTA BARAT, PROVINSI DKI JAKARTA; GEDUNG PRUDENTIAL TOWER LANTAI 15, JALAN JEND. SUDIRMAN KAV. 79, KELURAHAN/DESA SETIABUDI, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GEDUNG UTAMA PERTAMINA LT. 14, JL. MEDAN MERDEKA TIMUR 1 A , JAKARTA-10110, RT 002, RW 001, KELURAHAN/DESA GAMBIR, JAKARTA PUSAT, PROVINSI DKI JAKARTA; GRAHA ELNUSA, JL. TB SIMATUPANG KAV.1B, JAKARTA SELATAN, PROVINSI DKI JAKARTA; GREEN OFFICE PARK 9 3RD FLOOR, WING A , ZONE 5C , JALAN GRAND BOULEVARD, BSD GREEN OFFICE PARK, BSD CITY, DESA SAMPORA, KECAMATAN CISAUK, KABUPATEN TANGERANG – BANTEN, TANGERANG 15345 – INDONESIA, KELURAHAN/DESA SAMPORA, KABUPATEN TANGERANG, PROVINSI BANTEN; JAKARTA SELATAN, PROVINSI DKI JAKARTA; JALAN METRO DUTA KAVELING UE, KELURAHAN/DESA PONDOK PINANG, KECAMATAN KEBAYORAN LAMA, JAKARTA SELATAN, PROVINSI DKI JAKARTA; JALAN RADEN SALEH NOMOR 53, RT 001, RW 004, KELURAHAN/DESA CIKINI, KECAMATAN MENTENG, JAKARTA PUSAT, PROVINSI DKI JAKARTA; JALAN RAYA BEKASI KM. 22,, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL PULO LENTUT NO. 10 KWS INDUSTRI PULO GADUNG , KELURAHAN/DESA RAWATERATE, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL. HAYAM WURUK NOMOR 8 LT. 14, JAKARTA PUSAT, PROVINSI DKI JAKARTA; JL. JOHAR NO.10 KEBON SIRIH, MENTENG, KELURAHAN/DESA MENTENG, JAKARTA PUSAT, PROVINSI DKI JAKARTA; JL. LETJEN SOEPRAPTO KAV. 4 NO 1, KELURAHAN/DESA CEMPAKA PUTIH TIMUR, JAKARTA PUSAT, PROVINSI DKI JAKARTA; JL. MAMPANG RAYA NO. 60, TEGAL PARANG,, JAKARTA SELATAN, PROVINSI DKI JAKARTA; JL. PULO KAMBING RAYA KAVELING II E NO. 08 KIP, KELURAHAN/DESA RAWA TERATE, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL. RAWA GIRANG NO. 2 PULO GADUNG, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL. RAYA BEKASI KM. 23,1 CAKUNG BARAT, CAKUNG, KELURAHAN/DESA CAKUNG BARAT, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL. RAYA BEKASI KM.22, CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR, PROVINSI DKI JAKARTA; JL. REMPOA RAYA NO. 11 RT 001 RW 010, REMPOA, CIPUTAT TIMUR, KOTA TANGERANG SELATAN, PROVINSI BANTEN; JL. YOS SUDARSO, SUNTER I, JAKARTA UTARA, PROVINSI DKI JAKARTA; JL.DANAU UWIS RT 28, KEL LOA IPUH, KABUPATEN KUTAI KARTANEGARA, PROVINSI KALIMANTAN TIMUR; JL.KH.AGUS SALIM NO.4, KELURAHAN/DESA PORIS PLAWAD, KECAMATAN CIPONDOH, KOTA TANGERANG, PROVINSI BANTEN; JL.PARADISE RAYA I NO.1, JAKARTA UTARA, PROVINSI DKI JAKARTA; JL.PULAU SOLOR KIM II, SAENTIS,, KABUPATEN DELI SERDANG, PROVINSI SUMATERA UTARA; JL.RAYA DARMO 23-25, KOTA SURABAYA, PROVINSI JAWA TIMUR; JL.RAYA PELABUHAN KABIL.KAV.NO.1, NONGSA - KABIL, KOTA BATAM, PROVINSI KEPULAUAN RIAU; KANTOR A.18 MGK KEMAYORAN, JL.ANGKASA KAV.B-6, KOTA BARU BANDAR KEMAYORAN, KELURAHAN/DESA GUNUNG SAHARI SELATAN, JAKARTA PUSAT, PROVINSI DKI JAKARTA; KOMPLEKS MASPION UNIT 1, JL. SAWOTRATAP - SIDOARJO., KABUPATEN SIDOARJO, PROVINSI JAWA TIMUR; KOMPLEKS PT PUPUK KALIMANTAN TIMUR, BONTANG SELATAN, KOTA BONTANG, PROVINSI KALIMANTAN TIMUR; METROPOLITAN TOWER LT.9, JL. RADEN AJENG KARTINI KAV. 14, KELURAHAN/DESA CILANDAK, KECAMATAN TAHI BONAR SIMATUPANG, JAKARTA SELATAN, PROVINSI DKI JAKARTA; PONDOK INDAH OFFICE TOWER 3 LT. 3 JL. SULTAN ISKANDAR MUDA KAV V-TA PONDOK PINANG, KEBAYORAN LAMA, KELURAHAN/DESA PONDOK PINANG, JAKARTA SELATAN, PROVINSI DKI JAKARTA; WISMA 77 LT. 8, JL. LETJEND S. PARMAN KAV. 77, JAKARTA SELATAN, PROVINSI DKI JAKARTA; WISMA GAWI, LANTAI 4, TAMAN PERKANTORAN KUNINGAN, JALAN SETIABUDI SELATAN KAVELING 16-17, RT 010, RW 007, KELURAHAN/DESA KARET, KECAMATAN SETIABUDI, JAKARTA SELATAN, PROVINSI DKI JAKARTA; WISMA INDOVISION LT.10, GREEN GARDEN BLOK.Z.3, JL. PANJANG, KEL. KEDOYA UTARA, JAKARTA BARAT, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,CurrentYearDuration_1616000_RelatedParty8Member,IXF1616000E02_1378_00019_00_0001,PT GRAHA MAKMUR LESTARI,PT TIGA DUA DELAPAN,"GEDUNG KAWAN LAMA JL PURI KENCANA NO 1 JAKARTA BARAT, KELURAHAN/DESA KEMBANGAN SELATAN, JAKARTA BARAT, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,CurrentYearDuration_1616000_RelatedParty5Member,IXF1616000E02_1378_00016_00_0001,PT HOME CENTER INDONESIA,PT KAWAN LAMA SEJAHTERA,"JL. PURI KENCANA NO. 1, JAKARTA BARAT, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,CurrentYearDuration_1616000_RelatedParty4Member,IXF1616000E02_1378_00015_00_0001,PT HOME CENTER INDONESIA RETAIL,PT HOME CENTER INDONESIA,"JALAN PURI KENCANA NOMOR 1, RT 005, RW 002, KELURAHAN/DESA KEMBANGAN SELATAN, KECAMATAN KEMBANGAN, JAKARTA BARAT, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2022,PriorYearDuration_1616000_RelatedParty10Member,IXF1616000E02_1378_00035_00_0001,PT KAWAN LAMA INOVASI,PT KAWAN LAMA INTERNUSA,"GEDUNG KAWAN LAMA, JALAN PURI KENCANA NOMOR 1 KEMBANGAN, JAKARTA BARAT, RT 006, RW 002, KELURAHAN/DESA KEMBANGAN SELATAN, JAKARTA BARAT, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2022,PriorYearDuration_1616000_ThirdParty9Member,IXF1616000E02_1378_00055_00_0001,PT LION SUPER INDO,DELHAIZE THE LION NEDERLAND BV,"GEDUNG PERKANTORAN BIDAKARA 2 LT.19-22, JL. JEND. GATOT SUBROTO KAV.71-73, KELURAHAN/DESA MENTENG, JAKARTA SELATAN, PROVINSI DKI JAKARTA"
ACES,PT ASPIRASI HIDUP INDONESIA TBK,idx-cor:PartyName,2023,CurrentYearDuration_1616000_ThirdParty10Member,IXF1616000E02_1378_00022_00_0001,PT MATAHARI GRAHA FANTASI,PT NADYA PRIMA INDONESIA,"JL. RAYA PEGANGSAAN DUA NOMOR 88, JAKARTA UTARA, PROVINSI DKI JAKARTA"
